Specimen ID,Intermediate host (if applicable),Taxonomic name,Lifestage,Country,Locality,Collection date,Storage method,No. of samples
8182397,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,24
8182396,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,25
8182395,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,63
8182394,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,21
8182393,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,24
8182392,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,24
8182391,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,63
8182390,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,63
8182389,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,55
8182388,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,11
8182387,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,30
8182386,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,63
8182385,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,48
8182384,,Schistosoma haematobium,miracidia,Niger,Lata,6/22/2013,FTA card /dry,30
8182383,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,29
8182382,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,27
8182381,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,6
8182380,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,20
8182379,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,25
8182378,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,24
8182377,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,24
8182376,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,25
8182375,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,5
8182374,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,24
8182373,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,11
8182372,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,26
8182371,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,27
8182370,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,24
8182369,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,27
8182368,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,23
8182367,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,15
8182366,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,10
8182365,,Schistosoma haematobium,miracidia,Niger,Bangou Koirey,6/21/2013,FTA card /dry,18
8182364,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,61
8182363,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,3
8182362,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,17
8182361,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,6
8182360,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,4
8182359,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,25
8182358,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182357,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,25
8182355,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182354,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,63
8182353,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182352,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,10
8182351,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,16
8182350,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182349,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,23
8182348,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,8
8182347,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,23
8182346,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182345,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,5
8182344,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,25
8182343,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182342,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,24
8182341,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,10
8182340,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,19
8182339,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,18
8182338,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,3
8182337,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,13
8182336,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,25
8182335,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,23
8182333,,Schistosoma haematobium,miracidia,Niger,Yoreize Koira,6/20/2013,FTA card /dry,10
8182332,,Schistosoma haematobium,miracidia,Niger,Tagabati,6/19/2013,FTA card /dry,61
8182331,,Schistosoma haematobium,miracidia,Niger,Tagabati,6/19/2013,FTA card /dry,25
8182330,,Schistosoma haematobium,miracidia,Niger,Tagabati,6/19/2013,FTA card /dry,23
8182329,,Schistosoma haematobium,miracidia,Niger,Tagabati,6/19/2013,FTA card /dry,59
8182328,,Schistosoma haematobium,miracidia,Niger,Tagabati,6/19/2013,FTA card /dry,6
8182327,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,25
8182326,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,23
8182325,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,70
8182324,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,64
8182323,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,39
8182322,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,23
8182321,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,68
8182320,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,65
8182319,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,20
8182318,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,25
8182317,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,68
8182316,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,26
8182315,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,27
8182314,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,65
8182313,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,67
8182312,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,11
8182311,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,64
8182310,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,71
8182309,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,69
8182308,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,65
8182307,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,64
8182306,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,26
8182305,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,69
8182304,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,64
8182303,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,67
8182302,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,67
8182301,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,41
8182300,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,68
8182299,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,27
8182298,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,44
8182297,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,26
8182296,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,68
8182295,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,18
8182294,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,27
8182293,,Schistosoma haematobium,miracidia,Niger,Koutoukale,6/17/2013,FTA card /dry,26
8182290,,Schistosoma haematobium,miracidia,Niger,Youri,6/16/2013,FTA card /dry,27
8182289,,Schistosoma haematobium,miracidia,Niger,Youri,6/16/2013,FTA card /dry,2
8182287,,Schistosoma haematobium,miracidia,Niger,Doguel Kaina,6/15/2013,FTA card /dry,8
8182286,,Schistosoma haematobium,miracidia,Niger,Doguel Kaina,6/15/2013,FTA card /dry,25
